PHM;Industrial Goods;Residential Construction
QEP;Basic Materials;Oil and Gas Drilling and Exploration
PWR;Industrial Goods;General Contractors
QCOM;Technology;Communication Equipment
DGX;Healthcare;Medical Laboratories and Research
RRC;Basic Materials;Independent Oil and Gas
RTN;Industrial Goods;Aerospace/Defense - Major Diversified
RHT;Technology;Application Software
RF;Financial;Regional - Southeast Banks
RSG;Industrial Goods;Waste Management
RAI;Consumer Goods;Cigarettes
RHI;Services;Staffing and Outsourcing Services
ROK;Industrial Goods;Industrial Electrical Equipment
COL;Industrial Goods;Aerospace/Defense Products and Services
ROP;Technology;Scientific and Technical Instruments
ROST;Services;Apparel Stores
RDC;Basic Materials;Oil and Gas Drilling and Exploration
R;Services;Rental and Leasing Services
SWY;Services;Grocery Stores
SAI;Services;Technical Services
CRM;Technology;Application Software
SNDK;Technology;Data Storage Devices
SCG;Utilities;Electric Utilities
SLB;Basic Materials;Oil and Gas Equipment and Services
SNI;Services;Broadcasting - TV
STX;Technology;Data Storage Devices
SEE;Consumer Goods;Packaging and Containers
SRE;Utilities;Gas Utilities
SHW;Industrial Goods;General Building Materials
SIAL;Basic Materials;Specialty Chemicals
SPG;Financial;REIT - Retail
SLM;Financial;Credit Services
SJM;Consumer Goods;Processed and Packaged Goods
SNA;Industrial Goods;Small Tools and Accessories
SO;Utilities;Electric Utilities
LUV;Services;Regional Airlines
SWN;Basic Materials;Independent Oil and Gas
SE;Basic Materials;Oil and Gas Pipelines
S;Technology;Wireless Communications
STJ;Healthcare;Medical Appliances and Equipment
SWK;Industrial Goods;Machine Tools and Accessories
SPLS;Services;Specialty Retail, Other
SBUX;Services;Specialty Eateries
HOT;Services;Lodging
STT;Financial;Regional - Northeast Banks
SRCL;Industrial Goods;Waste Management
SYK;Healthcare;Medical Appliances and Equipment
STI;Financial;Money Center Banks
SYMC;Technology;Security Software and Services
SYY;Services;Food Wholesale
TROW;Financial;Asset Management
TGT;Services;Discount, Variety Stores
TEL;Technology;Diversified Electronics
TE;Utilities;Electric Utilities
THC;Healthcare;Hospitals
TDC;Technology;Diversified Computer Systems
TER;Technology;Semiconductor Equipment and Materials
TSO;Basic Materials;Oil and Gas Refining and Marketing
TXN;Technology;Semiconductor - Broad Line
TXT;Industrial Goods;Aerospace/Defense - Major Diversified
HSY;Consumer Goods;Confectioners
TRV;Financial;Property and Casualty Insurance
TMO;Healthcare;Medical Instruments and Supplies
TIF;Services;Jewelry Stores
TWX;Services;Entertainment - Diversified
TWC;Services;CATV Systems
TIE;Basic Materials;Industrial Metals and Minerals
TJX;Services;Department Stores
TMK;Financial;Life Insurance
TSS;Services;Business Services
TRIP;Technology;Internet Information Providers
TSN;Consumer Goods;Meat Products
TYC;Services;Security and Protection Services
USB;Financial;Regional - Midwest Banks
UNP;Services;Railroads
UNH;Healthcare;Health Care Plans
UPS;Services;Air Delivery and Freight Services
X;Basic Materials;Steel and Iron
UTX;Conglomerates;Conglomerates
UNM;Financial;Accident and Health Insurance
URBN;Services;Apparel Stores
VFC;Consumer Goods;Textile - Apparel Clothing
VLO;Basic Materials;Oil and Gas Refining and Marketing
VAR;Healthcare;Medical Appliances and Equipment
VTR;Financial;REIT - Healthcare Facilities
VRSN;Technology;Application Software
VZ;Technology;Telecom Services - Domestic
VIAB;Services;CATV Systems
V;Services;Business Services
VNO;Financial;REIT - Diversified
VMC;Industrial Goods;General Building Materials
WMT;Services;Discount, Variety Stores
WAG;Services;Drug Stores
DIS;Services;Entertainment - Diversified
WPO;Services;Education and Training Services
WM;Industrial Goods;Waste Management
WAT;Healthcare;Medical Appliances and Equipment
WPI;Healthcare;Drugs - Generic
WLP;Healthcare;Health Care Plans
WFC;Financial;Money Center Banks
WDC;Technology;Data Storage Devices
WU;Services;Business Services
WY;Financial;REIT - Industrial
WHR;Consumer Goods;Appliances
WFM;Services;Grocery Stores
WMB;Basic Materials;Oil and Gas Pipelines
WIN;Technology;Telecom Services - Domestic
WEC;Utilities;Electric Utilities
WPX;Basic Materials;Independent Oil and Gas
WYN;Services;Lodging
WYNN;Services;Resorts and Casinos
XEL;Utilities;Electric Utilities
XRX;Consumer Goods;Business Equipment
XLNX;Technology;Semiconductor - Integrated Circuits
XL;Financial;Property and Casualty Insurance
XYL;Industrial Goods;Diversified Machinery
YHOO;Technology;Internet Information Providers
YUM;Services;Restaurants
ZMH;Healthcare;Medical Appliances and Equipment
ZION;Financial;Regional - Pacific Banks
